
===== energy_monitoring.log =====
2026-07-31T12:53:47.6645308+05:30 | BACKEND VERIFY OK: pid=6328 owns API port 5000 but Windows did not expose executable/commandLine metadata. Using project PID file and API port ownership fallback.
2026-07-31T12:53:47.7021758+05:30 | BACKEND STOP REQUESTED: pid=6328.
2026-07-31T12:53:47.7415759+05:30 | STOP FAILED: Cannot stop process "python (6328)" because of the following error: Access is denied
2026-07-31T12:54:45.4005815+05:30 | STOP REQUESTED: scheduled task EnergyMonitoringBackend project=D:\FFPL\energy-monitoring-system.
2026-07-31T12:54:50.4767447+05:30 | SCHEDULED TASK NOT FOUND: EnergyMonitoringBackend.
2026-07-31T12:54:50.5960266+05:30 | BACKEND PID READ: pid=6328 from pid file at D:\FFPL\energy-monitoring-system\data\energy-monitoring-system-main.pid.
2026-07-31T12:54:54.0774371+05:30 | BACKEND VERIFY OK: pid=6328 owns API port 5000 but Windows did not expose executable/commandLine metadata. Using project PID file and API port ownership fallback.
2026-07-31T12:54:54.1823079+05:30 | BACKEND STOP REQUESTED: pid=6328.
2026-07-31T12:54:54.2322447+05:30 | BACKEND STOP-PROCESS FAILED: pid=6328. Cannot stop process "python (6328)" because of the following error: Access is denied
2026-07-31T12:54:54.6162111+05:30 | BACKEND TASKKILL RESULT: pid=6328 exit_code=1 output=ERROR: The process with PID 6328 could not be terminated. Reason: Access is denied. System.Management.Automation.RemoteException
2026-07-31T12:54:54.6355814+05:30 | STOP FAILED: taskkill failed for verified backend pid 6328 with exit code 1.
2026-07-31T12:57:38.3813267+05:30 | WATCHDOG STARTED: project=D:\FFPL\energy-monitoring-system pid=12464.
2026-07-31T12:57:38.4371405+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-31T12:57:39.0343469+05:30 | BACKEND STARTED: pid=21964 executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe script=main.py.
2026-07-31T12:59:35.7711047+05:30 | STOP REQUESTED: scheduled task EnergyMonitoringBackend project=D:\FFPL\energy-monitoring-system.
2026-07-31T12:59:40.2264924+05:30 | SCHEDULED TASK NOT FOUND: EnergyMonitoringBackend.
2026-07-31T12:59:40.3347092+05:30 | BACKEND PID READ: pid=22688 from pid file at D:\FFPL\energy-monitoring-system\data\energy-monitoring-system-main.pid.
2026-07-31T12:59:40.9245458+05:30 | BACKEND VERIFY OK: pid=22688 executable='C:\Users\venur\AppData\Local\Programs\Python\Python313\python.exe' commandLine='"D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe" -u main.py '.
2026-07-31T12:59:40.9511321+05:30 | BACKEND STOP REQUESTED: pid=22688.
2026-07-31T12:59:41.0558058+05:30 | BACKEND CRASHED: exit_code=-1. Restarting in 10 second(s).
2026-07-31T12:59:41.2554525+05:30 | BACKEND STOPPED: pid=22688.
2026-07-31T12:59:51.1199888+05:30 | BACKEND RESTARTING after exit_code=-1.
2026-07-31T12:59:51.1272561+05:30 | BACKEND STARTING: executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe.
2026-07-31T12:59:51.1823351+05:30 | BACKEND STARTED: pid=5904 executable=D:\FFPL\energy-monitoring-system\.venv\Scripts\python.exe script=main.py.
2026-07-31T13:01:48.1435291+05:30 | STOP REQUESTED: scheduled task EnergyMonitoringBackend project=D:\FFPL\energy-monitoring-system.
2026-07-31T13:01:53.0561245+05:30 | SCHEDULED TASK NOT FOUND: EnergyMonitoringBackend.
2026-07-31T13:01:53.1555460+05:30 | BACKEND PID READ: pid=13488 from pid file at D:\FFPL\energy-monitoring-system\data\energy-monitoring-system-main.pid.
